city_rus,region_rus,city_eng,region_eng,region_ISO_code
Дегтярск,Свердловская область ,Degtyarsk,Sverdlovsk Oblast,RU-SVE
Дедовск,Московская область ,Dedovsk,Moscow Oblast,RU-MOS
Демидов,Смоленская область ,Demidov,Smolensk Oblast,RU-SMO
Дербент,Республика Дагестан ,Derbent,Republic of Dagestan,RU-DA
Десногорск,Смоленская область ,Desnogorsk,Smolensk Oblast,RU-SMO
Джанкой,Республика Крым ,Dzhankoy,Republic of Crimea,UA-43
Дзержинск,Нижегородская область ,Dzerzhinsk,Nizhny Novgorod Oblast,RU-NIZ
Дзержинский,Московская область ,Dzerzhinsky,Moscow Oblast,RU-MOS
Дивногорск,Красноярский край ,Divnogorsk,Krasnoyarsk Krai,RU-KYA
Дигора,Республика Северная Осетия - Алания ,Digora,Republic of North Ossetia-Alania,RU-SE
Димитровград,Ульяновская область ,Dimitrovgrad,Ulyanovsk Oblast,RU-ULY
Дмитриев,Курская область ,Dmitriyev,Kursk Oblast,RU-KRS
Дмитров,Московская область ,Dmitrov,Moscow Oblast,RU-MOS
Дмитровск,Орловская область ,Dmitrovsk,Oryol Oblast,RU-ORL
Дно,Псковская область ,Dno,Pskov Oblast,RU-PSK
Добрянка,Пермский край ,Dobryanka,Perm Krai,RU-PER
Долгопрудный,Московская область ,Dolgoprudny,Moscow Oblast,RU-MOS
Долинск,Сахалинская область ,Dolinsk,Sakhalin Oblast,RU-SAK
Домодедово,Московская область ,Domodedovo,Moscow Oblast,RU-MOS
Донецк,Ростовская область ,Donetsk,Rostov Oblast,RU-ROS
Донской,Тульская область ,Donskoy,Tula Oblast,RU-TUL
Дорогобуж,Смоленская область ,Dorogobuzh,Smolensk Oblast,RU-SMO
Дрезна,Московская область ,Drezna,Moscow Oblast,RU-MOS
Дубна,Московская область ,Dubna,Moscow Oblast,RU-MOS
Дубовка,Волгоградская область ,Dubovka,Volgograd Oblast,RU-VGG
Дудинка,Красноярский край ,Dudinka,Krasnoyarsk Krai,RU-KYA
Духовщина,Смоленская область ,Dukhovshchina,Smolensk Oblast,RU-SMO
Дюртюли,Республика Башкортостан ,Dyurtyuli,Republic of Bashkortostan,RU-BA
Дятьково,Брянская область ,Dyatkovo,Bryansk Oblast,RU-BRY
ЕЕвпатория,Республика Крым ,Yevpatoria,Republic of Crimea,UA-43
Егорьевск,Московская область ,Yegoryevsk,Moscow Oblast,RU-MOS
Ейск,Краснодарский край ,Yeysk,Krasnodar Krai,RU-KDA
Екатеринбург,Свердловская область ,Yekaterinburg,Sverdlovsk Oblast,RU-SVE
Елабуга,Республика Татарстан ,Yelabuga,Republic of Tatarstan,RU-TA
Елец,Липецкая область ,Yelets,Lipetsk Oblast,RU-LIP
Елизово,Камчатский край ,Yelizovo,Kamchatka Krai,RU-KAM
Ельня,Смоленская область ,Yelnya,Smolensk Oblast,RU-SMO
Еманжелинск,Челябинская область ,Yemanzhelinsk,Chelyabinsk Oblast,RU-CHE
Емва,Республика Коми ,Yemva,Komi Republic,RU-KO
Енисейск,Красноярский край ,Yeniseysk,Krasnoyarsk Krai,RU-KYA
Ермолино,Калужская область ,Yermolino,Kaluga Oblast,RU-KLU
Ершов,Саратовская область ,Yershov,Saratov Oblast,RU-SAR
Ессентуки,Ставропольский край ,Yessentuki,Stavropol Krai,RU-STA
Ефремов,Тульская область ,Yefremov,Tula Oblast,RU-TUL
Железноводск,Ставропольский край ,Zheleznovodsk,Stavropol Krai,RU-STA
Железногорск,Красноярский край ,Zheleznogorsk,Krasnoyarsk Krai,RU-KYA
Железногорск,Курская область ,Zheleznogorsk,Kursk Oblast,RU-KRS
Железногорск-Илимский,Иркутская область ,Zheleznogorsk-Ilimsky,Irkutsk Oblast,RU-IRK
Жердевка,Тамбовская область ,Zherdevka,Tambov Oblast,RU-TAM
Жигулёвск,Самарская область ,Zhigulyovsk,Samara Oblast,RU-SAM
Жиздра,Калужская область ,Zhizdra,Kaluga Oblast,RU-KLU
Жирновск,Волгоградская область ,Zhirnovsk,Volgograd Oblast,RU-VGG
Жуков,Калужская область ,Zhukov,Kaluga Oblast,RU-KLU
Жуковка,Брянская область ,Zhukovka,Bryansk Oblast,RU-BRY
Жуковский,Московская область ,Zhukovsky,Moscow Oblast,RU-MOS
Завитинск,Амурская область ,Zavitinsk,Amur Oblast,RU-AMU
Заводоуковск,Тюменская область ,Zavodoukovsk,Tyumen Oblast,RU-TYU
Заволжск,Ивановская область ,Zavolzhsk,Ivanovo Oblast,RU-IVA
Заволжье,Нижегородская область ,Zavolzhye,Nizhny Novgorod Oblast,RU-NIZ
Задонск,Липецкая область ,Zadonsk,Lipetsk Oblast,RU-LIP
Заинск,Республика Татарстан ,Zainsk,Republic of Tatarstan,RU-TA
Закаменск,Республика Бурятия ,Zakamensk,Republic of Buryatia,RU-BU
Заозёрный,Красноярский край ,Zaozyorny,Krasnoyarsk Krai,RU-KYA
Заозёрск,Мурманская область ,Zaozyorsk,Murmansk Oblast,RU-MUR
Западная Двина,Тверская область ,Zapadnaya Dvina,Tver Oblast,RU-TVE
Заполярный,Мурманская область ,Zapolyarny,Murmansk Oblast,RU-MUR
Зарайск,Московская область ,Zaraysk,Moscow Oblast,RU-MOS
Заречный,Пензенская область ,Zarechny,Penza Oblast,RU-PNZ
Заречный,Свердловская область ,Zarechny,Sverdlovsk Oblast,RU-SVE
Заринск,Алтайский край ,Zarinsk,Altai Krai,RU-ALT
Звенигово,Республика Марий Эл ,Zvenigovo,Mari El Republic,RU-ME
Звенигород,Московская область ,Zvenigorod,Moscow Oblast,RU-MOS
Зверево,Ростовская область ,Zverevo,Rostov Oblast,RU-ROS
Зеленогорск,Красноярский край ,Zelenogorsk,Krasnoyarsk Krai,RU-KYA
Зеленоградск,Калининградская область ,Zelenogradsk,Kaliningrad Oblast,RU-KGD
Зеленодольск,Республика Татарстан ,Zelenodolsk,Republic of Tatarstan,RU-TA
Зеленокумск,Ставропольский край ,Zelenokumsk,Stavropol Krai,RU-STA
Зерноград,Ростовская область ,Zernograd,Rostov Oblast,RU-ROS
Зея,Амурская область ,Zeya,Amur Oblast,RU-AMU
Зима,Иркутская область ,Zima,Irkutsk Oblast,RU-IRK
Златоуст,Челябинская область ,Zlatoust,Chelyabinsk Oblast,RU-CHE
Злынка,Брянская область ,Zlynka,Bryansk Oblast,RU-BRY
Змеиногорск,Алтайский край ,Zmeinogorsk,Altai Krai,RU-ALT
Знаменск,Астраханская область ,Znamensk,Astrakhan Oblast,RU-AST
Зубцов,Тверская область ,Zubtsov,Tver Oblast,RU-TVE
Зуевка,Кировская область ,Zuyevka,Kirov Oblast,RU-KIR
Ивангород,Ленинградская область ,Ivangorod,Leningrad Oblast,RU-LEN
Иваново,Ивановская область ,Ivanovo,Ivanovo Oblast,RU-IVA
Ивантеевка,Московская область ,Ivanteyevka,Moscow Oblast,RU-MOS
Ивдель,Свердловская область ,Ivdel,Sverdlovsk Oblast,RU-SVE
Игарка,Красноярский край ,Igarka,Krasnoyarsk Krai,RU-KYA
Ижевск,Удмуртская Республика ,Izhevsk,Udmurt Republic,RU-UD
Избербаш,Республика Дагестан ,Izberbash,Republic of Dagestan,RU-DA
Изобильный,Ставропольский край ,Izobilny,Stavropol Krai,RU-STA
Иланский,Красноярский край ,Ilansky,Krasnoyarsk Krai,RU-KYA
Инза,Ульяновская область ,Inza,Ulyanovsk Oblast,RU-ULY
Инкерман,Севастополь ,Inkerman,Sevastopol,UA-40
Иннополис,Республика Татарстан ,Innopolis,Republic of Tatarstan,RU-TA
Инсар,Республика Мордовия ,Insar,Republic of Mordovia,RU-MO
Инта,Республика Коми ,Inta,Komi Republic,RU-KO
Ипатово,Ставропольский край ,Ipatovo,Stavropol Krai,RU-STA
Ирбит,Свердловская область ,Irbit,Sverdlovsk Oblast,RU-SVE
Иркутск,Иркутская область ,Irkutsk,Irkutsk Oblast,RU-IRK
Исилькуль,Омская область ,Isilkul,Omsk Oblast,RU-OMS
Искитим,Новосибирская область ,Iskitim,Novosibirsk Oblast,RU-NVS
Истра,Московская область ,Istra,Moscow Oblast,RU-MOS
Ишим,Тюменская область ,Ishim,Tyumen Oblast,RU-TYU
